Personal care activities,100,99.9,9.11,10.07
Sleeping,99.9,99.9,8.31,9.32
Grooming,82,73.1,0.84,0.88
Health-related self care,6.8,5.3,1.35,1.48
Personal activities,0.8,0.9,-3,-3
Travel related to personal care,2.5,2.5,0.48,0.62
Eating and drinking,96.3,95.5,1.22,1.41
Eating and drinking,96.2,95.5,1.11,1.25
Travel related to eating and drinking,23.8,27.9,0.44,0.55
Household activities,73.3,74.6,2.15,2.8
Housework,34.4,38,1.53,1.86
Food preparation and cleanup,53,50.6,0.93,1.16
Lawn and garden care,8.8,10.8,1.86,2.28
Household management,18.1,18.1,0.65,0.83
Interior maintenance# repair# and decoration,2.8,3.6,1.93,2.73
Exterior maintenance# repair# and decoration,2.4,3.6,1.97,2.16
Animals and pets,15.4,12.5,0.59,0.75
Vehicles,2.4,3.5,1.34,1.69
Appliances# tools# and toys,1.1,1.6,-3,1.3
Travel related to household activities,9.6,9,0.37,0.52
Purchasing goods and services,43.8,47,1.61,1.93
Consumer goods purchases,38.9,44.8,0.82,1.19
Grocery shopping,11.8,15.5,0.72,0.82
Professional and personal care services,10.8,4.4,0.91,0.97
Financial services and banking,3.9,1.7,0.24,0.21
Medical and care services,4.8,0.9,1.33,-3
Personal care services,1.8,1.4,1.05,1.32
Household services,2.3,1.7,0.61,0.8
Home maintenance# repair# decoration# and construction (not done by self),0.5,0.3,-3,-3
Vehicle maintenance and repair services (not done by self),1,0.7,-3,-3
Government services,0.6,0.2,-3,-3
Travel related to purchasing goods and services,42.2,45.3,0.64,0.7
Caring for and helping others,40.8,36.2,3.75,3.67
Caring for and helping household children,23.8,18.9,1.83,1.93
Caring for and helping household children (except activities related to education and health),23.3,18.7,1.62,1.86
Activities related to household children's education,5,0.9,0.93,0.94
Activities related to household children's health,1.2,0.6,1.04,-3
Caring for and helping household adults,5.7,4.4,0.63,0.7
Caring for household adults,2,1.5,1.13,1.31
Helping household adults,3.9,2.9,0.33,0.37
Travel related to caring for and helping household members,16.2,7.5,0.6,0.6
Caring for and helping nonhousehold children,5.8,5.3,1.61,1.49
Caring for and helping nonhousehold adults,8,9.6,0.85,0.91
Caring for nonhousehold adults,0.9,0.6,-3,-3
Helping nonhousehold adults,7.5,9.2,0.74,0.87
Travel related to caring for and helping nonhousehold members,10.4,10.6,0.57,0.67
Working and work-related activities,56.5,23.8,8.38,5.78
Working,54.3,22.1,7.89,5.6
Work-related activities,1,0.3,-3,-3
Other income-generating activities,1.1,1,-3,2.76
Job search and interviewing,1.7,0.7,2.69,-3
Travel related to work,48,15.2,0.74,0.62
Educational activities,9.5,4.3,6.46,3.24
Attending class,7.3,0.3,5.25,-3
Homework and research,6.6,4,2.65,3
Travel related to education,6.8,0.8,0.64,-3
Organizational# civic# and religious activities,12.4,19.8,2.03,2.66
Religious and spiritual activities,6.4,15.9,1.18,1.9
Volunteering (organizational and civic activities),7.1,6.9,2.08,2.32
Volunteer activities,6.6,6.9,2.13,2.33
Administrative and support activities,2.7,2.2,1.49,1.38
Social service and care activities (except medical),1.5,2.4,1.98,2.06
Indoor and outdoor maintenance# building# and cleanup activities,0.4,0.8,-3,-3
Participating in performance and cultural activities,0.3,0.6,-3,-3
Attending meetings# conferences# and training,0.8,0.6,-3,-3
Civic obligations and participation,0.5,0,-3,-3
Travel related to organizational# civic# and religious activities,6.4,15.4,0.46,0.43
Leisure and sports,95.8,97,4.83,6.68
Socializing# relaxing# and leisure,95,96.3,4.36,5.96
Socializing and communicating,36.2,45.4,1.49,2.46
Socializing and communicating (except social events),35.6,42.4,1.43,2.21
Attending or hosting social events,1.3,4.7,2.17,3.82
Relaxing and leisure,91.1,91.8,3.9,4.87
Watching TV,80.2,82.6,3.18,3.98
Arts and entertainment (other than sports),2.1,5.9,2.68,2.6
Sports# exercise# and recreation,19.3,18,1.57,2.24
Participating in sports# exercise# and recreation,18.4,16.8,1.47,2.08
Attending sporting or recreational events,1.2,1.4,-3,3.72
Travel related to leisure and sports,31.7,42,0.56,0.78
Telephone calls# mail# and e-mail,28,22.2,0.8,0.81
Telephone calls (to or from),15.8,14.4,0.85,0.79
Household and personal messages,16.9,10.9,0.53,0.58
Household and personal mail and messages,8.2,3.7,0.32,0.34
Household and personal e-mail and messages,10.1,8,0.63,0.64
Travel related to telephone calls,0.5,0.3,-3,-3
Other activities# not elsewhere classified,14.7,14.6,1.36,1.45
