Personal care activities,99.9,99.9,9.21,10.12
Sleeping,99.9,99.9,8.39,9.35
Grooming,82.8,74.2,0.84,0.88
Health-related self care,6.4,6,1.53,1.26
Personal activities,0.5,0.7,2.03,2.62
Travel related to personal care,2.7,2.6,0.5,0.79
Eating and drinking,96.3,94.9,1.24,1.43
Eating and drinking,96.3,94.8,1.14,1.26
Travel related to eating and drinking,22.7,26.2,0.43,0.61
Household activities,75.5,75.5,2.23,2.73
Housework,34,36.3,1.57,1.84
Food preparation and cleanup,55.4,53.4,0.98,1.13
Lawn and garden care,9.2,11.5,2,2.4
Household management,18,17.1,0.64,0.84
Interior maintenance# repair# and decoration,2.8,3.5,1.94,2.66
Exterior maintenance# repair# and decoration,3,3.3,1.7,2.15
Animals and pets,14.9,13.2,0.65,0.69
Vehicles,2.1,3.3,1.88,1.53
Appliances# tools# and toys,1.7,1.4,1.48,1.1
Travel related to household activities,9.3,8.7,0.44,0.56
Purchasing goods and services,43.7,44.4,1.63,1.85
Consumer goods purchases,38.7,42.4,0.84,1.15
Grocery shopping,13.2,15.3,0.71,0.83
Professional and personal care services,9.9,3.8,1,0.92
Financial services and banking,3.3,1.4,0.25,0.28
Medical and care services,4.6,0.7,1.42,1.62
Personal care services,1.6,1.1,1.11,1.03
Household services,2,1.4,0.89,0.6
Home maintenance# repair# decoration# and construction (not done by self),0.6,0.3,1.38,-3
Vehicle maintenance and repair services(not done by self),1,0.8,0.93,0.51
Government services,0.7,0.1,1.29,-3
Travel related to purchasing goods and services,42.2,43.1,0.62,0.67
Caring for and helping others,38.4,35,3.76,3.73
Caring for and helping household children,22.6,18.2,1.86,2
Caring for and helping household children (except activities related to education and health),22.1,17.9,1.66,1.93
Activities related to household children's education,4.4,1.1,1,1.19
Activities related to household children's health,1,0.5,1,0.94
Caring for and helping household adults,5.5,4.3,0.51,0.55
Caring for household adults,1.8,1.9,0.8,0.82
Helping household adults,4,2.5,0.33,0.33
Travel related to caring for and helping household members,15.3,6.5,0.6,0.68
Caring for and helping nonhousehold children,4.9,4.9,1.3,1.66
Caring for and helping nonhousehold adults,7.5,9.2,1.05,0.94
Caring for nonhousehold adults,0.7,0.5,1.75,1.13
Helping nonhousehold adults,7.1,8.9,0.93,0.91
Travel related to caring for and helping nonhousehold members,9.8,10.5,0.63,0.61
Working and work-related activities,53.5,23.6,8.23,5.64
Working,50.5,21.6,7.84,5.45
Work-related activities,0.7,0.3,0.89,0.82
Other income-generating activities,1,1.4,3.06,2.82
Job search and interviewing,2.5,0.8,2.36,1.99
Travel related to work,45.2,14.9,0.78,0.64
Educational activities,9.8,5.2,6.1,3.43
Attending class,7.8,0.5,4.97,3.28
Homework and research,6.4,4.7,2.5,3.28
Travel related to education,6.9,0.7,0.57,0.44
Organizational# civic# and religious activities,12.7,19.9,2.03,2.83
Religious and spiritual activities,6.7,15.3,1.36,2.02
Volunteering (organizational and civic activities),6.9,7.2,2.04,2.52
Volunteer activities,6.7,7.1,2.06,2.53
Administrative and support activities,2.5,2.2,1.55,1.42
Social service and care activities (except medical),1.7,2,2.35,2.19
Indoor and outdoor maintenance# building# and cleanup activities,0.6,0.6,-3,2.26
Participating in performance and cultural activities,0.3,0.7,2.1,2.07
Attending meetings# conferences# and training,1.1,0.7,1.69,2.34
Civic obligations and participation,0.3,0.1,-3,-3
Travel related to organizational# civic# and religious activities,6.2,15.2,0.41,0.47
Leisure and sports,95.2,97.1,4.91,6.59
Socializing# relaxing# and leisure,94.1,96.5,4.45,5.88
Socializing and communicating,34.3,43.4,1.61,2.46
Socializing and communicating (except social events),33.3,41,1.52,2.24
Attending or hosting social events,1.8,4.4,2.58,3.44
Relaxing and leisure,90,91.3,3.98,4.87
Watching TV,78.7,81,3.2,3.99
Arts and entertainment (other than sports),2.1,5.2,2.57,2.91
Sports# exercise# and recreation,19.7,18.2,1.56,2.19
Participating in sports# exercise# and recreation,19.1,17,1.5,2.07
Attending sporting or recreational events,0.9,1.5,2.22,3.02
Travel related to leisure and sports,30.3,40.6,0.57,0.81
Telephone calls# mail# and e-mail,24.3,20,0.75,0.8
Telephone calls (to or from),14.4,13.1,0.73,0.79
Household and personal messages,13.7,9.3,0.54,0.6
Household and personal mail and messages,6.8,3.3,0.34,0.39
Household and personal e-mail and messages,8.1,6.5,0.63,0.66
Travel related to telephone calls,0.8,0.6,0.36,0.37
Other activities# not elsewhere classified,19.4,17.5,1.8,1.96
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
