Personal care activities,100,100,9.12,10.08
Sleeping,100,99.9,8.33,9.33
Grooming,83.4,73,0.82,0.85
Health-related self care,6.4,5.9,1.35,1.82
Personal activities,0.5,0.7,-3,-3
Travel related to personal care,2.3,2.4,0.48,0.7
Eating and drinking,96.1,95.7,1.22,1.43
Eating and drinking,96.1,95.7,1.12,1.25
Travel related to eating and drinking,24.5,29.2,0.41,0.57
Household activities,73.3,75.5,2.26,2.79
Housework,35.1,38.5,1.62,1.82
Food preparation and cleanup,52.1,50.5,0.98,1.13
Lawn and garden care,9.6,11.9,1.72,2.3
Household management,18.7,18,0.62,0.83
Interior maintenance# repair# and decoration,3.4,4.5,2.02,2.46
Exterior maintenance# repair# and decoration,2.8,3.2,1.68,2.04
Animals and pets,13.9,12,0.59,0.79
Vehicles,2.7,3.7,1.54,1.68
Appliances# tools# and toys,1.4,1.9,1.33,1.24
Travel related to household activities,9.1,9,0.39,0.56
Purchasing goods and services,44.8,46.9,1.69,1.98
Consumer goods purchases,39.3,45.2,0.87,1.22
Grocery shopping,13.3,15.9,0.69,0.76
Professional and personal care services,10.7,4.2,0.98,1.02
Financial services and banking,3.5,1.7,0.26,0.17
Medical and care services,4.9,0.4,1.36,-3
Personal care services,1.8,1.3,1.03,1.35
Household services,2.2,1.4,0.93,0.79
Home maintenance# repair# decoration# and construction (not done by self),0.7,0.2,-3,-3
Vehicle maintenance and repair services (not done by self),0.9,0.8,-3,-3
Government services,0.7,0.1,-3,-3
Travel related to purchasing goods and services,43.4,45.6,0.64,0.71
Caring for and helping others,39.1,36.3,3.63,3.85
Caring for and helping household children,22.8,18.8,1.87,1.99
Caring for and helping household children (except activities related to education and health),22.1,18.4,1.66,1.93
Activities related to household children's education,4.8,1.1,0.96,1.18
Activities related to household children's health,1.2,0.5,1.22,-3
Caring for and helping household adults,5.5,4,0.77,0.74
Caring for household adults,2.3,1.3,1.41,0.92
Helping household adults,3.6,2.7,0.28,0.61
Travel related to caring for and helping household members,15.2,7.2,0.61,0.58
Caring for and helping nonhousehold children,5.5,5.8,1.3,1.48
Caring for and helping nonhousehold adults,7.6,9.5,0.8,1.14
Caring for nonhousehold adults,0.7,0.8,-3,-3
Helping nonhousehold adults,7.3,9,0.69,1.06
Travel related to caring for and helping nonhousehold members,10.2,11.1,0.59,0.64
Working and work-related activities,56.2,23.9,8.48,5.7
Working,54.2,22.8,7.98,5.42
Work-related activities,0.6,0.2,-3,-3
Other income-generating activities,0.9,0.7,-3,-3
Job search and interviewing,1.6,0.4,1.81,-3
Travel related to work,49.2,15.2,0.76,0.67
Educational activities,10.7,6.4,5.9,2.49
Attending class,8.5,2.7,4.9,1.63
Homework and research,6.9,4,2.38,2.54
Travel related to education,7.7,2.1,0.56,0.36
Organizational# civic# and religious activities,10.4,20,1.95,2.63
Religious and spiritual activities,4.1,16,1.06,1.88
Volunteering (organizational and civic activities),6.7,6.7,1.89,2.25
Volunteer activities,6.3,6.6,1.92,2.25
Administrative and support activities,2.5,2.3,1.33,1.17
Social service and care activities (except medical),1.5,1.6,1.65,1.93
Indoor and outdoor maintenance# building# and cleanup activities,0.4,0.6,-3,-3
Participating in performance and cultural activities,0.4,1,-3,-3
Attending meetings# conferences# and training,1,0.6,1.81,-3
Civic obligations and participation,0.3,0.1,-3,-3
Travel related to organizational# civic# and religious activities,6.1,16.2,0.53,0.47
Leisure and sports,95.9,97.6,4.73,6.52
Socializing# relaxing# and leisure,94.7,96.9,4.28,5.81
Socializing and communicating,37.9,46.1,1.59,2.41
Socializing and communicating (except social events),37,43.2,1.5,2.15
Attending or hosting social events,2.1,5.2,2.23,3.43
Relaxing and leisure,90.5,91.8,3.75,4.76
Watching TV,78.6,81.6,2.99,3.8
Arts and entertainment (other than sports),2.4,6.5,2.59,2.4
Sports# exercise# and recreation,18.3,17.7,1.55,2.2
