Personal care activities,100,100,9.06,9.97
Sleeping,99.9,100,8.29,9.25
Grooming,82.4,71.3,0.83,0.88
Health-related self care,5.3,4.6,1.22,1.48
Personal activities,0.5,0.5,-3,-3
Travel related to personal care,2.3,2.5,0.56,0.96
Eating and drinking,95.6,94.9,1.25,1.4
Eating and drinking,95.6,94.9,1.14,1.22
Travel related to eating and drinking,24.7,28.1,0.41,0.61
Household activities,74.1,75,2.28,2.92
Housework,35.1,38.8,1.67,1.96
Food preparation and cleanup,52,47.9,0.95,1.2
Lawn and garden care,9.5,12.4,1.85,2.26
Household management,18,18.6,0.73,0.88
Interior maintenance# repair# and decoration,3.3,4.3,2.23,2.5
Exterior maintenance# repair# and decoration,2.4,3.6,2.07,2.19
Animals and pets,14.5,13.4,0.62,0.78
Vehicles,2.5,2.9,1.35,1.33
Appliances# tools# and toys,1.5,1.8,0.96,1.47
Travel related to household activities,9.4,10.2,0.44,0.61
Purchasing goods and services,43.7,45.7,1.7,1.92
Consumer goods purchases,39.1,44.1,0.87,1.18
Grocery shopping,12.1,14.8,0.67,0.87
Professional and personal care services,10.1,4.4,1.05,0.97
Financial services and banking,4.1,1.8,0.27,0.23
Medical and care services,4.2,0.6,1.55,-3
Personal care services,1.8,1.3,1.34,1.22
Household services,2.2,1.4,0.76,0.64
Home maintenance# repair# decoration# and construction (not done by self),0.4,0.3,-3,-3
Vehicle maintenance and repair services (not done by self),1.1,0.6,-3,-3
Government services,0.6,0.1,-3,-3
Travel related to purchasing goods and services,41.8,44.5,0.65,0.69
Caring for and helping others,39.2,36.1,3.59,3.75
Caring for and helping household children,23,19,1.88,2.05
Caring for and helping household children (except activities related to education and health),22.7,18.7,1.67,1.97
Activities related to household children's education,4.5,1,0.92,1.02
Activities related to household children's health,1,0.5,1.18,-3
Caring for and helping household adults,5.3,4,0.77,0.54
Caring for household adults,2,1.4,1.55,0.99
Helping household adults,3.6,2.6,0.28,0.29
Travel related to caring for and helping household members,15.6,7.4,0.59,0.59
Caring for and helping nonhousehold children,5.6,5.1,1.19,1.32
Caring for and helping nonhousehold adults,7.3,9.7,0.78,1.02
Caring for nonhousehold adults,0.6,0.8,-3,-3
Helping nonhousehold adults,7.1,9.1,0.63,0.93
Travel related to caring for and helping nonhousehold members,10,11.3,0.59,0.63
Working and work-related activities,57.4,25.1,8.38,5.84
Working,55.5,23.3,7.91,5.6
Work-related activities,0.4,0.2,-3,-3
Other income-generating activities,0.8,1.5,-3,3.06
Job search and interviewing,1.4,0.5,2.05,-3
Travel related to work,49.8,16.1,0.72,0.63
Educational activities,8.8,5.6,6.01,3.23
Attending class,6.9,0.5,5.18,-3
Homework and research,5.5,5.1,2.35,3.01
Travel related to education,6.4,0.9,0.55,-3
Organizational# civic# and religious activities,12.1,20.1,2.18,2.76
Religious and spiritual activities,5.9,15.9,1.25,2.01
Volunteering (organizational and civic activities),7.2,6.9,2.16,2.38
Volunteer activities,7.1,6.9,2.18,2.38
Administrative and support activities,2.6,2,1.26,1.25
Social service and care activities (except medical),1.7,1.9,2.27,2.12
Indoor and outdoor maintenance# building# and cleanup activities,0.6,0.6,-3,-3
Participating in performance and cultural activities,0.4,0.5,-3,-3
Attending meetings# conferences# and training,1.1,0.9,2.09,-3
Civic obligations and participation,0.2,0,-3,-3
Travel related to organizational# civic# and religious activities,6.6,16.1,0.51,0.44
Leisure and sports,95.4,96.8,4.79,6.58
Socializing# relaxing# and leisure,94.6,96,4.31,5.79
Socializing and communicating,35.9,44.3,1.54,2.55
Socializing and communicating (except social events),34.9,41,1.47,2.26
Attending or hosting social events,1.8,5.5,2.32,3.71
Relaxing and leisure,91.2,90.7,3.8,4.69
Watching TV,79.3,79.7,3.07,3.85
Arts and entertainment (other than sports),2.4,6.2,2.38,2.86
Sports# exercise# and recreation,19,19.8,1.56,2.36
Participating in sports# exercise# and recreation,18.4,18.7,1.5,2.2
Attending sporting or recreational events,0.8,1.7,-3,3.22
Travel related to leisure and sports,32.5,42.9,0.6,0.8
Telephone calls# mail# and e-mail,26.1,20.3,0.74,0.81
Telephone calls (to or from),15,12.9,0.73,0.79
Household and personal messages,15.1,9.9,0.55,0.6
Household and personal mail and messages,7.8,3.9,0.36,0.39
Household and personal e-mail and messages,8.8,6.5,0.62,0.68
Travel related to telephone calls,0.6,0.6,-3,-3
Other activities# not elsewhere classified,14.3,13.7,1.36,1.49
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
