Personal care activities,100,100,9.2,10.04
Sleeping,99.9,99.9,8.4,9.34
Grooming,81.2,72,0.85,0.85
Health-related self care,6.4,5.3,1.33,1.26
Personal activities,0.8,0.9,-3,-3
Travel related to personal care,2.3,2.3,0.73,0.64
Eating and drinking,96.7,95.9,1.22,1.39
Eating and drinking,96.6,95.8,1.11,1.23
Travel related to eating and drinking,24.4,27,0.41,0.56
Household activities,76,76.4,2.23,2.67
Housework,35.5,38.1,1.55,1.87
Food preparation and cleanup,55.8,51.6,0.93,1.15
Lawn and garden care,9,10.3,2.02,2.3
Household management,19.4,18.3,0.68,0.76
Interior maintenance# repair# and decoration,2.9,4,2.56,2.25
Exterior maintenance# repair# and decoration,2.8,3.5,1.8,1.91
Animals and pets,15.8,12.8,0.61,0.66
Vehicles,2.3,3,1.41,1.65
Appliances# tools# and toys,1.5,1.7,1.18,1.12
Travel related to household activities,10.1,9.5,0.45,0.52
Purchasing goods and services,43.7,46,1.64,1.88
Consumer goods purchases,38.7,43.9,0.84,1.15
Grocery shopping,13.4,16,0.7,0.86
Professional and personal care services,10.4,4.4,1.01,0.9
Financial services and banking,3.8,1.9,0.33,0.27
Medical and care services,4.8,0.6,1.5,-3
Personal care services,1.5,1.4,0.94,1.08
Household services,2.1,1.7,0.73,0.62
Home maintenance# repair# decoration# and construction (not done by self),0.5,0.3,-3,-3
Vehicle maintenance and repair services(not done by self),1,0.9,0.71,0.69
Government services,0.7,0.1,-3,-3
Travel related to purchasing goods and services,42,44.5,0.62,0.7
Caring for and helping others,39.3,36.9,3.63,3.7
Caring for and helping household children,22.8,18.8,1.94,2.1
Caring for and helping household children (except activities related to education and health),22.2,18.5,1.75,2.02
Activities related to household children's education,4.7,1.1,0.94,1.05
Activities related to household children's health,1.1,0.4,1.04,-3
Caring for and helping household adults,5.3,4.3,0.68,0.59
Caring for household adults,2.3,1.4,0.96,0.85
Helping household adults,3.3,2.9,0.42,0.44
Travel related to caring for and helping household members,14.7,7.4,0.62,0.55
Caring for and helping nonhousehold children,5.2,5.8,1.29,1.36
Caring for and helping nonhousehold adults,8.1,10.1,0.71,1.04
Caring for nonhousehold adults,0.8,0.6,-3,-3
Helping nonhousehold adults,7.8,9.7,0.6,1.02
Travel related to caring for and helping nonhousehold members,10.6,11.8,0.59,0.61
Working and work-related activities,54.5,23.9,8.27,5.19
