Personal care activities,100,100,9.3,10.11
Sleeping,99.9,100,8.49,9.34
Grooming,82.8,74.7,0.85,0.9
Health-related self care,6.8,5.4,1.35,1.5
Personal activities,0.3,0.4,1.27,1.85
Travel related to personal care,1.9,2.1,0.67,0.7
Eating and drinking,96.9,95.2,1.2,1.44
Eating and drinking,96.9,95.2,1.1,1.27
Travel related to eating and drinking,22.1,26.2,0.42,0.6
Household activities,74.2,75.3,2.22,2.77
Housework,33.9,35.5,1.6,1.82
Food preparation and cleanup,56,53.7,0.98,1.18
Lawn and garden care,8.7,10.7,1.77,2.38
Household management,17,17.8,0.73,0.82
Interior maintenance# repair# and decoration,2.8,3.5,2.01,2.37
Exterior maintenance# repair# and decoration,2.5,3.6,1.68,2.05
Animals and pets,16.2,13.9,0.61,0.78
Vehicles,2,3.2,1.52,1.98
Appliances# tools# and toys,1.2,1.4,1.31,1.68
Travel related to household activities,8.5,9.4,0.44,0.59
Purchasing goods and services,42.6,43.7,1.66,1.93
Consumer goods purchases,38,42.2,0.83,1.17
Grocery shopping,13.4,15.8,0.7,0.84
Professional and personal care services,9,3.8,1.15,0.86
Financial services and banking,2.5,1.4,0.24,0.22
Medical and care services,4.8,0.6,1.51,1.27
Personal care services,1.4,1.3,1.15,0.96
Household services,1.8,1.3,0.83,0.58
Home maintenance# repair# decoration# and construction (not done by self),0.5,0.2,1.18,-2
Vehicle maintenance and repair services (not done by self),0.8,0.8,0.87,0.53
Government services,0.8,0.2,1.13,-2
Travel related to purchasing goods and services,41.3,42.4,0.64,0.72
Caring for and helping others,37.9,35.1,3.76,3.75
Caring for and helping household children,22.3,17.5,1.9,2.12
Caring for and helping household children (except activities related to education and health),21.6,17.2,1.67,2.05
Activities related to household children's education,5.2,1.1,1,1.43
Activities related to household children's health,1,0.4,1.12,0.72
Caring for and helping household adults,6.2,5.8,0.56,0.62
Caring for household adults,2.6,1.9,0.88,1.1
Helping household adults,4,4.1,0.31,0.36
